Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Median_Wait_Weeks,Number_Waiting_Over_18_Weeks,Number_Waiting_Over_52_Weeks,RTT_18wk_Standard_Met
RXD,Kingswood NHS Foundation Trust,South East,Gastro,01/09/2024,2701,16.3,807,98,No
RXC,RIVERSIDE UNIVERSITY HOSPITALS TRUST,London,Dermatology,01/11/2023,3453,11.3,945,121,No
RXC,Riverside University Hospitals Trust,London, Cardiology,2023-03,6196,12.7,2917,98,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ear Nose and Throat,Apr-24,3227,11.8,1096,99,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,2024-10,3097,18.6,796,98,No
RXD,Kingswood NHS Foundation Trust,South East,urology ,01/03/2023,1818,13.9,674,147,No
RXC,Riverside University Hospitals Trust,London,General Surgery ,Apr-23,4463,12,1771,415,No
RXB,Eastfield General Hospitals Trust,East of England,general surgery,2023-11,1355,,451,31,No
RXC,Riverside University Hospitals Trust,London,cardiology,2024-11,6358,14.1,2478,320,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Opthalmology,Apr-23,5218,13.8,1700,309,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ent,2023-05,2019,11.5,979,193,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,2024-05,4278,15.3,1631,260,No
RXA, Northgate NHS Foundation Trust ,North West, Cardiology,2024-02,5937,13.1,3298,332,No
RXA,Northgate NHS Foundation Trust,North West,dermatology,01/11/2024,"2,310",16.5,960,62,No
RXD,Kingswood NHS Foundation Trust,South East,ent,01/03/2024,5752,14.1,2357,377,No
RXF,Harborview NHS Foundation Trust,South West,E.N.T.,2023-08,4961,12.8,1625,12,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,2024-03,5933,10.8,3603,445,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,01/06/2024,"5,231",12.4,1419,227,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma & Orthopaedics,2024-01,952,14.3,209,24,No
RXC,Riverside University Hospitals Trust,London,urology ,01/08/2024,6535,20.6,1125,90,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ENT,2024-09,1954,17.7,739,82,No
RXD, Kingswood NHS Foundation Trust ,South East,Urology,2023-04,1576,13.3,440,27,No
RXB, Eastfield General Hospitals Trust ,East of England,General Surgery ,Nov-24,1542,16.7,576,79,No
RXD,Kingswood NHS Foundation Trust,South East,general surgery,2023-06,"5,768",9.9,2217,-259,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,urology ,Aug-24,3072,17.1,665,45,No
RXH,Sherbourne NHS Foundation Trust,North East,ophthalmology ,2023-09,4352,11.4,976,126,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,Apr-23,"3,343",,1722,271,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology,2024-07,2800,17.1,1108,53,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,Oct-24,3330,19.7,717,48,No
RXH, Sherbourne NHS Foundation Trust ,North East,Cardiology,2023-10,5611,12.3,2204,369,No
RXG, Meadowbrook University Hospitals Trust ,Yorkshire and the Humber,General Surgery,01/08/2023,2568,13.1,593,69,No
RXC, Riverside University Hospitals Trust ,London,T&O,2024-09,4575,11.8,2036,453,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,01/09/2023,5443,10.2,1889,209,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery,01/07/2023,2578,7.7,882,101,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastroenterology ,01/03/2024,2604,13.9,1332,284,No
RXF,Harborview NHS Foundation Trust,South West,Gastroenterology,2024-11,5852,17.4,2105,209,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Opthalmology,2024-05,5474,15.3,1678,203,No
RXE, Vale of Aldern NHS Trust ,West Midlands,Gastroenterology ,01/04/2024,4000,14.3,1434,386,No
RXD,Kingswood NHS Foundation Trust,South East,ENT,Jul-24,5684,13.3,2157,318,No
RXE,Vale of Aldern NHS Trust,West Midlands,cardiology,Aug-24,4342,17.1,1091,112,No
RXC,Riverside University Hospitals Trust,London,Ear Nose and Throat,2024-04,3638,14.6,664,43,No
RXF,Harborview NHS Foundation Trust,South West,trauma & orthopaedics,2024-09,"4,550",16.7,1897,250,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology ,2024-01,2330,14.7,804,76,No
RXE,Vale of Aldern NHS Trust,West Midlands,Cardiology,2023-07,3718,16.5,1657,203,No
RXC,Riverside University Hospitals Trust,London,Derm,2024-01,3441,10,913,149,No
RXC,Riverside University Hospitals Trust,London,Urology,Dec-23,6283,14.6,1666,253,No
RXG, Meadowbrook University Hospitals Trust ,Yorkshire and the Humber,Dermatology ,2023-01,3077,12.7,834,30,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,2023-09,1824,13.8,528,53,No
RXE, Vale of Aldern NHS Trust ,West Midlands,Urology,2023-03,2973,12.1,1273,299,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology,Aug-24,2275,15,851,23,No
RXE,Vale of Aldern NHS Trust,West Midlands,general surgery,Apr-24,2817,11.7,515,66,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,2024-09,5569,20.5,1807,180,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,01/07/2024,3107,14.9,1355,24,No
RXC,Riverside University Hospitals Trust,London,Trauma & Orthopaedics,2024-12,"4,819",18.5,383,61,Yes
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology ,2023-07,5040,15,2082,323,No
RXF,Harborview NHS Foundation Trust,South West,urology ,2024-05,3489,19.4,922,112,No
RXF,Harborview NHS Foundation Trust,South West,dermatology,2023-06,2800,,1067,26,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,Oct-23,4433,15.4,2399,0,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,01/05/2024,2621,18.7,758,128,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,2024-12,5219,13.9,2331,185,No
RXD,Kingswood NHS Foundation Trust,South East,gastroenterology,01/02/2024,2556,13.5,406,27,No
RXD,Kingswood NHS Foundation Trust,South East,Trauma and Orthopaedics,2023-12,5451,11.1,1639,252,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,2023-05,5496,15.8,2511,326,No
RXH,Sherbourne NHS Foundation Trust,North East,E.N.T.,01/07/2024,5440,16.8,2019,201,No
RXF,Harborview NHS Foundation Trust,South West,Derm,Feb-23,3088,15.9,774,135,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gen Surgery,2023-10,2797,10.9,1057,149,No
RXA,Northgate NHS Foundation Trust,North West,Derm,01/09/2023,2544,15.5,893,60,No
RXA,Northgate NHS Foundation Trust,North West,general surgery,2023-09,1392,12.1,422,52,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,2024-12,969,9,376,101,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,gastroenterology,2023-02,2730,10.4,855,169,No
RXC,Riverside University Hospitals Trust,London,Dermatology,01/11/2024,4005,12.6,1119,138,No
RXH,Sherbourne NHS Foundation Trust,North East,Gen Surgery,2023-06,780,18.1,204,6,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastroenterology ,2024-12,3891,21.8,2008,266,No
RXB, Eastfield General Hospitals Trust ,East of England,General Surgery ,2024-03,1550,10.6,665,121,No
RXH,Sherbourne NHS Foundation Trust,North East,Dermatology,2024-03,3287,17,1232,177,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology,2023-05,4932,14.8,1330,75,No
RXE,Vale of Aldern NHS Trust,West Midlands,trauma & orthopaedics,May-23,5824,13,1908,291,No
RXB,Eastfield General Hospitals Trust,East of England,General Surgery ,01/12/2023,1884,11.7,879,190,No
RXA,Northgate NHS Foundation Trust,North West,ent,2023-07,4125,11.7,2223,176,No
RXF,Harborview NHS Foundation Trust,South West,Urology,2024-11,3582,16,1594,241,No
RXC,Riverside University Hospitals Trust,London,Cardiology,2023-09,6081,16.3,1648,151,No
RXC,Riverside University Hospitals Trust,London,gastroenterology,2024-01,"2,976",12.3,804,112,No
RXF,Harborview NHS Foundation Trust,South West,T&O,01/05/2024,"4,663",15.8,1568,224,No
RXA,Northgate NHS Foundation Trust,North West,urology ,01/10/2024,721,13.2,300,54,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,01/01/2024,5787,13.6,1388,-207,No
RXC,Riverside University Hospitals Trust,London,Gastro,01/10/2023,3007,18,1238,133,No
RXC,Riverside University Hospitals Trust,London,dermatology,2024-06,3746,13.2,1367,166,No
RXD,Kingswood NHS Foundation Trust,South East,Ear Nose and Throat,Nov-24,5554,12.9,1738,61,No
RXC,Riverside University Hospitals Trust,London,Gastroenterology,2024-11,2828,16.6,992,161,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery ,2024-11,1597,16.4,324,56,No
RXB, Eastfield General Hospitals Trust ,East of England,Urology,2024-05,4986,16,1400,0,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,E.N.T.,Feb-24,2133,,816,29,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery ,2024-07,5864,14.2,2184,213,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma and Orthopaedics,2024-05,951,14.4,432,18,No
RXB,Eastfield General Hospitals Trust,East of England,general surgery,Feb-24,1667,12.1,500,54,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,2024-10,4323,18.1,1833,382,No
RXB,Eastfield General Hospitals Trust,East of England,Trauma & Orthopaedics,2023-09,1051,16.6,308,50,No
RXH, Sherbourne NHS Foundation Trust ,North East,General Surgery,01/12/2024,1153,10.2,390,69,No
RXF,Harborview NHS Foundation Trust,South West,Gastro,2023-02,5505,17.6,2386,23,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastro,2023-03,3994,15.1,1116,147,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery,2023-12,2609,12.8,949,52,No
RXC,Riverside University Hospitals Trust,London,Ear Nose and Throat,01/09/2023,2992,8.9,899,35,No
RXD,Kingswood NHS Foundation Trust,South East,Gen Surgery,Jan-24,6010,10.4,2595,550,No
RXH,Sherbourne NHS Foundation Trust,North East,Gen Surgery,01/09/2024,1243,10.4,387,46,No
RXF,Harborview NHS Foundation Trust,South West,Urology,2024-02,3687,20.4,1174,74,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,01/06/2023,4384,12.9,2235,153,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,2024-09,4375,9.6,694,98,No
RXC,Riverside University Hospitals Trust,London,Urology,01/04/2024,6021,19.9,975,-145,No
RXF,HARBORVIEW NHS FOUNDATION TRUST,South West,Ophthalmology,01/12/2023,2871,11,1291,132,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,Jul-23,1885,15.2,817,187,No
RXG, Meadowbrook University Hospitals Trust ,Yorkshire and the Humber,dermatology,2024-10,2704,12.5,782,128,No
RXF,Harborview NHS Foundation Trust,South West,Gastroenterology,2023-01,5933,7.5,1492,231,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,2023-04,3821,15.9,1930,180,No
RXF,Harborview NHS Foundation Trust,South West,Ear Nose and Throat,2024-03,5030,11.2,1224,151,No
RXD,Kingswood NHS Foundation Trust,South East,Opthalmology,2023-07,"1,822",14,572,117,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma & Orthopaedics,2023-06,4304,15.6,1703,158,No
RXH,Sherbourne NHS Foundation Trust,North East,urology ,2024-12,4012,14.2,1606,328,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ENT,2024-06,2038,18.9,1024,117,No
RXC,Riverside University Hospitals Trust,London,Urology,01/09/2023,5963,10.1,2979,267,No
RXE,Vale of Aldern NHS Trust,West Midlands,ENT,2024-11,3413,17,675,151,No
RXF,Harborview NHS Foundation Trust,South West,Gastro,Jun-24,"5,996",13.8,1223,13,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gen Surgery,May-23,2657,16.2,1122,142,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Opthalmology,01/09/2024,5638,14,1751,118,No
RXB, Eastfield General Hospitals Trust ,East of England,Ear Nose and Throat,Jul-23,5255,14.2,1859,236,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,2023-02,2131,14.4,837,68,No
RXF,Harborview NHS Foundation Trust,South West,dermatology,2023-01,2921,12.7,382,38,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,2024-02,2985,8.5,993,53,No
RXH,Sherbourne NHS Foundation Trust,North East,urology ,01/10/2024,4214,12,1115,171,No
RXH,Sherbourne NHS Foundation Trust,North East,ophthalmology ,01/03/2023,4152,12.9,1214,100,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,general surgery,2024-10,2881,14.2,1218,98,No
RXA,Northgate NHS Foundation Trust,North West,dermatology,01/11/2023,"2,705",7.7,567,75,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,gastroenterology,2023-01,2273,14.2,1032,51,No
RXA, Northgate NHS Foundation Trust ,North West,T&O,2023-01,2675,11,831,26,No
RXD,Kingswood NHS Foundation Trust,South East,Gen Surgery,2023-08,6040,16.2,998,64,No
RXC,Riverside University Hospitals Trust,London,Gen Surgery,2023-08,4649,16.4,1235,222,No
RXF,HARBORVIEW NHS FOUNDATION TRUST,South West,Gastroenterology,2023-08,5892,12,1865,288,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,01/01/2023,5754,15.8,2235,440,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,01/09/2024,5948,15.8,2150,250,No
RXE,Vale of Aldern NHS Trust,West Midlands,ent,01/10/2024,3386,13.5,1614,214,No
RXA,Northgate NHS Foundation Trust,North West,Trauma and Orthopaedics,2023-02,2831,12.9,992,105,No
RXA,Northgate NHS Foundation Trust,North West,gastroenterology,Dec-23,5867,18.7,1901,56,No
RXH,Sherbourne NHS Foundation Trust,North East,Dermatology,01/10/2023,3365,9.8,802,65,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery,Jan-23,2527,11.1,707,39,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastro,2024-11,3664,8.2,1511,299,No
RXC,Riverside University Hospitals Trust,London,Gastroenterology,Mar-24,2997,14.6,1079,-167,No
RXF,Harborview NHS Foundation Trust,South West,General Surgery,2024-05,5642,15.9,1903,134,No
RXD, Kingswood NHS Foundation Trust ,South East,Dermatology ,2024-03,2295,10.7,699,136,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,01/07/2023,1540,10.9,361,22,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,general surgery,01/04/2023,2351,,841,99,No
RXD,Kingswood NHS Foundation Trust,South East,Derm,2024-11,2050,14.1,921,84,No
RXC,Riverside University Hospitals Trust,,ent,01/02/2024,3579,15.6,1545,73,No
RXD,Kingswood NHS Foundation Trust,South East,Gastroenterology,01/10/2023,2521,14.2,465,29,No
RXH,Sherbourne NHS Foundation Trust,North East,T&O,Nov-24,966,14.5,348,48,No
RXF,Harborview NHS Foundation Trust,South West,ent,2023-06,4742,16,2209,271,No
RXA,NORTHGATE NHS FOUNDATION TRUST,North West,Urology,01/12/2023,776,14.6,238,19,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2024-07,"2,860",17.8,838,103,No
RXH,Sherbourne NHS Foundation Trust,North East,ent,Jan-23,5627,,1991,0,No
RXH,Sherbourne NHS Foundation Trust,North East,trauma & orthopaedics,Jul-23,1051,12.3,463,42,No
RXA,NORTHGATE NHS FOUNDATION TRUST,North West,General Surgery ,2023-11,1447,17.1,620,173,No
RXB,Eastfield General Hospitals Trust,East of England,gastroenterology,2024-07,920,16.4,324,9,No
RXA,Northgate NHS Foundation Trust,North West,ent,2024-08,4605,16.4,1956,447,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology,2023-12,1698,19.1,509,75,No
RXA,NORTHGATE NHS FOUNDATION TRUST,North West,Gastro,2023-02,5842,9.4,2552,513,No
RXF,Harborview NHS Foundation Trust,South West,Gastroenterology ,Apr-24,6132,18.1,2191,244,No
RXC,Riverside University Hospitals Trust,London,Trauma and Orthopaedics,2023-08,4305,16.6,1306,172,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,01/02/2024,2780,14.4,1117,162,No
RXC,Riverside University Hospitals Trust,London,Derm,2023-03,3566,,1546,306,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,2024-01,1089,10.1,384,28,No
RXC,Riverside University Hospitals Trust,London,dermatology,2024-08,3980,15.8,1656,112,No
RXH,Sherbourne NHS Foundation Trust,North East,gastroenterology,2024-03,1836,11.3,693,69,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ear Nose and Throat,2023-02,1905,14.9,572,29,No
RXC,Riverside University Hospitals Trust,London,Ear Nose and Throat,2023-06,2910,8.2,1686,151,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,trauma & orthopaedics,2024-11,4239,13,1470,246,No
RXF, Harborview NHS Foundation Trust ,South West,General Surgery,2024-06,5612,20.3,2213,39,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastroenterology ,2023-10,3981,13,1147,51,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology ,2023-01,5029,13.2,2382,482,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology,01/07/2024,2688,10,615,14,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber, Cardiology,2024-06,2979,11,1012,181,No
RXB,Eastfield General Hospitals Trust,East of England,General Surgery,01/04/2023,1317,12.9,515,2,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery ,2024-05,1142,12.4,441,22,No
RXC,Riverside University Hospitals Trust,London,ENT,Jun-24,3578,17.3,844,101,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastroenterology,2023-11,2878,16.5,684,74,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,2024-04,2778,12.6,1147,94,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ent,01/01/2023,1733,8.9,428,41,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,01/11/2024,5756,17,1512,202,No
RXA,Northgate NHS Foundation Trust,North West,urology ,01/07/2023,898,8.9,467,58,No
RXB,Eastfield General Hospitals Trust,East of England,trauma & orthopaedics,2023-07,1094,18.4,318,74,No
RXB,Eastfield General Hospitals Trust,East of England,Ear Nose and Throat,2024-03,4936,17.6,1995,195,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,2024-11,5133,14.7,1333,187,No
RXC,Riverside University Hospitals Trust,London,general surgery,2023-02,4607,12.1,1817,141,No
RXE,VALE OF ALDERN NHS TRUST,West Midlands,Cardiology,01/02/2024,4310,15.8,2501,78,No
RXH,Sherbourne NHS Foundation Trust,North East, Cardiology,2024-09,5801,13.6,1723,293,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma and Orthopaedics,2024-06,6035,10,1021,134,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,01/02/2023,5774,18.4,2762,0,No
RXA,Northgate NHS Foundation Trust,North West,Trauma & Orthopaedics,01/11/2023,2687,14.9,693,147,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology,2024-04,2270,15.3,628,103,No
RXE,Vale of Aldern NHS Trust,West Midlands,Opthalmology,2024-04,2695,10.9,1564,170,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,2023-02,1826,13.4,666,13,No
RXC,Riverside University Hospitals Trust,London,Urology,Jun-23,6191,11.3,2695,361,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,01/06/2024,4509,15.8,1383,320,No
RXE,Vale of Aldern NHS Trust,West Midlands,ENT,2023-08,2922,12,696,68,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,Dec-24,3024,18.6,705,150,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,Apr-23,5171,11.7,1605,177,No
RXA, Northgate NHS Foundation Trust ,North West,General Surgery ,Jan-23,1731,16.1,447,50,No
RXF,Harborview NHS Foundation Trust,South West,dermatology,01/09/2023,2759,11.7,999,82,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,2024-02,5205,11.6,2153,221,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery ,2023-06,1542,18.5,227,42,No
RXB, Eastfield General Hospitals Trust ,East of England,gastroenterology,2023-07,1002,10.8,272,-46,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology ,01/11/2024,1657,12.2,757,76,No
RXA,Northgate NHS Foundation Trust,North West,cardiology,01/06/2023,5702,16.2,2581,335,No
RXE,Vale of Aldern NHS Trust,West Midlands,Cardiology,2023-08,4096,16.3,1525,265,No
RXA,Northgate NHS Foundation Trust,North West,Trauma & Orthopaedics,2024-04,2777,14.9,1053,81,No
RXC,Riverside University Hospitals Trust,London,gastroenterology,Jan-23,3100,13.8,1086,24,No
RXD,Kingswood NHS Foundation Trust,South East,ophthalmology ,2024-06,1849,13.5,551,71,No
RXC, Riverside University Hospitals Trust ,London,Ear Nose and Throat,2024-09,3579,12.7,1190,36,No
RXD,Kingswood NHS Foundation Trust,South East,Ophthalmology,01/01/2024,1593,13.3,771,129,No
RXA,Northgate NHS Foundation Trust,North West,Dermatology,2023-05,"2,578",12.5,947,165,No
RXA,Northgate NHS Foundation Trust,North West,Urology,2023-10,1022,15,495,63,No
RXA,Northgate NHS Foundation Trust,North West,Derm,May-24,2513,9.3,753,176,No
RXB,Eastfield General Hospitals Trust,East of England,gastroenterology,2023-01,1027,14.8,504,97,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,01/11/2024,5963,15.2,1454,117,No
RXF,HARBORVIEW NHS FOUNDATION TRUST,South West,Gastroenterology ,2023-07,5675,10.3,3089,306,No
RXH,SHERBOURNE NHS FOUNDATION TRUST,North East,Cardiology,2023-02,5477,13.5,1561,235,No
RXC,Riverside University Hospitals Trust,London,Dermatology ,2023-02,3439,8.2,1761,145,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastroenterology,2023-05,2584,8.4,999,145,No
RXD,Kingswood NHS Foundation Trust,South East,Trauma & Orthopaedics,2024-06,5342,7.3,2721,250,No
RXB, Eastfield General Hospitals Trust ,East of England,gastroenterology,2024-04,964,11.8,454,50,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery,2023-12,6143,17.7,1351,-229,No
RXB,Eastfield General Hospitals Trust,East of England,Gen Surgery,Jan-23,1410,12.4,556,59,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,Jan-23,5384,15.7,1739,365,No
RXF,Harborview NHS Foundation Trust,South West,cardiology,Jan-23,2173,11.6,522,78,No
RXE,Vale of Aldern NHS Trust,West Midlands,gastroenterology,2023-08,4247,12.2,1594,27,No
RXE,Vale of Aldern NHS Trust,West Midlands,E.N.T.,2023-03,2959,10.8,665,80,No
RXA,Northgate NHS Foundation Trust,North West,dermatology,01/04/2024,2304,12.2,977,131,No
RXB,Eastfield General Hospitals Trust,East of England,ent,01/05/2023,4912,11.1,1561,227,No
RXC,Riverside University Hospitals Trust,London,Opthalmology,01/05/2023,3027,9,566,111,No
RXA,Northgate NHS Foundation Trust,North West,T&O,2024-06,2746,16.9,1279,90,No
RXD, Kingswood NHS Foundation Trust ,South East,Gastroenterology,2023-04,2439,9.1,652,54,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2024-04,3181,10.1,975,144,No
RXD, Kingswood NHS Foundation Trust ,South East,ent,01/01/2024,5705,13.2,1651,0,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology,2024-11,707,15.2,306,19,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastroenterology,2024-02,3917,10.4,2040,224,No
RXB,Eastfield General Hospitals Trust,East of England, Cardiology,2023-10,1188,21.1,320,69,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,2023-03,2545,8,1152,115,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,Feb-24,2758,17.6,631,39,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,Urology,2024-03,2204,9.7,1098,115,No
RXC,Riverside University Hospitals Trust,London,dermatology,Feb-24,3785,19.7,2037,340,No
RXC,Riverside University Hospitals Trust,London,urology ,01/07/2023,5899,15.1,1700,165,No
RXF,Harborview NHS Foundation Trust,South West,Urology,01/02/2023,3512,13.6,1470,102,No
RXD,Kingswood NHS Foundation Trust,South East,T&O,01/07/2024,5399,18.1,1524,270,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/10/2023,2618,,1054,0,No
RXC,Riverside University Hospitals Trust,London,Trauma & Orthopaedics,2023-03,4580,12.2,1145,102,No
RXH,Sherbourne NHS Foundation Trust,North East,gastroenterology,2023-04,1944,13.9,483,64,No
RXF,Harborview NHS Foundation Trust,South West,Gen Surgery,01/10/2023,5740,16,2346,269,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery,Oct-23,940,10,244,24,No
RXF,Harborview NHS Foundation Trust,South West,dermatology,Oct-23,"2,835",11.6,839,150,No
RXA,Northgate NHS Foundation Trust,North West,T&O,2024-03,2951,15,1106,155,No
RXD,Kingswood NHS Foundation Trust,South East,cardiology,01/07/2023,2423,12.2,833,123,No
RXA,Northgate NHS Foundation Trust,North West,Opthalmology,01/08/2023,3723,11.7,1751,84,No
RXH,Sherbourne NHS Foundation Trust,North East,Gen Surgery,Sep-23,1267,16.2,384,64,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,cardiology,Mar-24,2669,12.5,902,73,No
RXC,Riverside University Hospitals Trust,London,cardiology,2023-12,6173,16.9,2295,452,No
RXH,Sherbourne NHS Foundation Trust,North East,Ophthalmology,May-23,3931,,1709,74,No
RXC,Riverside University Hospitals Trust,London,dermatology,Dec-24,4005,18.8,1399,232,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,Dec-24,3414,11,985,173,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,2024-04,1643,10.1,416,34,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,2023-04,2885,11.1,555,33,No
RXF,Harborview NHS Foundation Trust,South West,Trauma & Orthopaedics,2023-04,4857,7.8,1559,225,No
RXF,Harborview NHS Foundation Trust,South West,ent,Feb-23,4945,11.5,1355,83,No
RXF,Harborview NHS Foundation Trust,South West,Ophthalmology,2024-08,2843,13.6,573,61,No
RXD,Kingswood NHS Foundation Trust,South East,Cardiology,2024-10,2878,20,1645,181,No
RXF,Harborview NHS Foundation Trust,South West,E.N.T.,May-23,4639,14.2,1641,338,No
RXC, Riverside University Hospitals Trust ,London,T&O,2024-01,4640,13.1,1936,453,No
RXF,Harborview NHS Foundation Trust,South West,Urology,Mar-24,3620,11.7,1803,185,No
RXH,SHERBOURNE NHS FOUNDATION TRUST,North East,Ear Nose and Throat,2023-08,5604,13.5,1656,161,No
RXH,Sherbourne NHS Foundation Trust,North East,trauma & orthopaedics,Apr-24,1092,12.8,474,64,No
RXH,Sherbourne NHS Foundation Trust,North East,Gastroenterology ,2023-03,1582,10.7,784,131,No
RXD,Kingswood NHS Foundation Trust,South East,Gen Surgery,01/03/2024,5964,15.1,2320,93,No
